p3 | MaxLen - | Vehicle make & model | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].Vehicle_Make_Model[0]
p3 | MaxLen - | Year | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].Year[0]
p3 | MaxLen - | Date purchased | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].Date_Purchased[0]
p3 | MaxLen - | Mileage or use hours | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].Mileage[0]
p3 | MaxLen - | License/Tag number | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].LicenseTagNumber[0]
p3 | MaxLen - | Vehicle make & model [Lease] | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].LeaseLoan[0].CB3_05[0]
p3 | MaxLen - | Monthly lease/loan amount | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].MonthlyLeaseAmt[0].Monthly_Lease_Amount[0]
p3 | MaxLen - | Name of creditor | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].Name_Creditor[0]
p3 | MaxLen - | Date of final payment | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].Date_Final_Payment[0]
p3 | MaxLen - | Vehicle make & model [Own] | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].LeaseLoan[0].CB3_06[0]
p3 | MaxLen - | Current market value | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].CurrentMarket[0].Current_Market_Value[0]
p3 | MaxLen - | X .8 = $ | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].CurrentMarket[0].Times_8[0]
p3 | MaxLen - | Minus loan balance | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].LessLoan[0].Less_Loan_Balance[0]
p3 | MaxLen - | (4c) $ | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle3[0].Total_Value_Vehicle[0]
p3 | MaxLen - | (4d) $ | topmostSubform[0].F433-B-OIC_Page3[0].Total_Value_Vehicles_Attached[0]
p3 | MaxLen - | Add lines (4a) through (4d) = | topmostSubform[0].F433-B-OIC_Page3[0].Total_Value_Vehicles[0]
p4 | MaxLen - | Type of equipment | topmostSubform[0].F433-B-OIC_Page4[0].Section2[0].Type_Equipment[0]
p4 | MaxLen - | Current market value | topmostSubform[0].F433-B-OIC_Page4[0].Section2[0].CurrentMarket[0].Current_Market_Value[0]
p4 | MaxLen - | X .8 = $ | topmostSubform[0].F433-B-OIC_Page4[0].Section2[0].CurrentMarket[0].Times_8[0]
p4 | MaxLen - | Minus loan balance | topmostSubform[0].F433-B-OIC_Page4[0].Section2[0].LessLoan[0].Less_Loan_Balance[0]
p4 | MaxLen - | (5a) $ | topmostSubform[0].F433-B-OIC_Page4[0].Section2[0].Total_Value_Equipment[0]
